Date,Source,Brand,Product Name,RRP,Selling Price
6/10/2019,SmarTone,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
6/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
6/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
6/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
6/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,4799
6/10/2019,SmarTone,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
6/10/2019,SmarTone,SAMSUNG,SAMSUNG S10 (512GB),7998,6998
6/10/2019,SmarTone,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
6/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
6/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (512GB),8998,7698
6/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (1TB),11998,10598
6/10/2019,SmarTone,SAMSUNG,SAMSUNG TAB S5E (128GB),4488,4288
6/10/2019,SmarTone,SIGTONE,SIGTONE V8 (4GB),899,899
6/10/2019,SmarTone,SONY,SONY XPERIA 1 (128GB),6999,5899
6/10/2019,SmarTone,MI,MI 9 (128GB),3699,3599
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (64GB),9499,9499
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (256GB),10799,10799
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (512GB),12499,12499
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (64GB),8599,8599
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (256GB),9899,9899
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (512GB),11599,11599
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (64GB),5999,5999
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (128GB),6499,6499
6/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (256GB),7299,7299
